hour_of_day,day_of_week,target_avg_gas_gwei,cell_tx_count,hour_tx_count,hour_p95_gas_gwei,hour_avg_tx_cost_gwei,hour_total_gas_used,day_tx_count,day_avg_tx_cost_gwei,hour_sin,hour_cos,day_1,day_2,day_3,day_4,day_5,day_6,day_7
10,3,1.3342719075489093,73666,543923,3.385919202,132920.63995143623,51001745170.0,1670294,192218.91819584285,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0
11,3,1.2651934994952083,71277,538831,3.138485529,124102.53662633151,50741474189.0,1670294,192218.91819584285,0.258819045102521,-0.9659258262890682,0,0,1,0,0,0,0
12,3,2.1710928556807807,72590,544375,4.155753603,192741.2652550277,51208147906.0,1670294,192218.91819584285,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0
13,3,2.8849277931190307,72210,552279,6.608573155,243132.875927153,50820171169.0,1670294,192218.91819584285,-0.2588190451025208,-0.9659258262890683,0,0,1,0,0,0,0
14,3,3.6789171745627165,73721,558832,9.447355187,336797.41371590673,50951921669.0,1670294,192218.91819584285,-0.4999999999999998,-0.8660254037844388,0,0,1,0,0,0,0
15,3,3.215913562373473,74041,567377,7.704733753,283292.0843289813,50309638828.0,1670294,192218.91819584285,-0.7071067811865471,-0.7071067811865479,0,0,1,0,0,0,0
16,3,4.520225807110417,78900,569480,7.708683906,301445.1180262856,50732784786.0,1670294,192218.91819584285,-0.8660254037844384,-0.5000000000000004,0,0,1,0,0,0,0
17,3,2.56540721356363,73584,556440,5.667083929,214597.61240003238,50388873972.0,1670294,192218.91819584285,-0.9659258262890683,-0.25881904510252063,0,0,1,0,0,0,0
18,3,2.632338297366681,74034,551048,5.0,210561.236023189,50756939288.0,1670294,192218.91819584285,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0
19,3,2.613010987581642,76994,543603,3.952595007,198096.57722458255,51042663179.0,1670294,192218.91819584285,-0.9659258262890684,0.2588190451025203,0,0,1,0,0,0,0
20,3,2.6600148077738703,75006,532396,5.0,196943.1745361734,50698040651.0,1670294,192218.91819584285,-0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0
21,3,2.2221560792529464,72137,519375,4.219433032,182842.23581879432,50523579970.0,1670294,192218.91819584285,-0.7071067811865477,0.7071067811865474,0,0,1,0,0,0,0
22,3,1.6393750640940226,69610,502256,3.254979462,147884.03596702655,50985649917.0,1670294,192218.91819584285,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0
23,3,1.4326117714890958,69512,483295,2.848214627,127258.11776559443,50853783944.0,1670294,192218.91819584285,-0.25881904510252157,0.9659258262890681,0,0,1,0,0,0,0
0,4,1.4175078500696763,68230,484990,3.171828544,161276.97602343073,51152781593.0,1652436,204826.13834265602,0.0,1.0,0,0,0,1,0,0,0
1,4,1.4205701201805199,66785,481817,2.938983493,132744.70308806928,50815705575.0,1652436,204826.13834265602,0.25881904510252074,0.9659258262890683,0,0,0,1,0,0,0
2,4,1.361614467990834,66868,483202,2.770655318,124866.9210751538,50553730146.0,1652436,204826.13834265602,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0
3,4,1.367897554170561,62775,474211,3.006172715,129894.96436468957,50511325974.0,1652436,204826.13834265602,0.7071067811865475,0.7071067811865476,0,0,0,1,0,0,0
4,4,1.4196785469667417,59957,457672,2.746325303,118115.14950072966,51123444366.0,1652436,204826.13834265602,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0
5,4,1.3132231120999385,61748,461609,2.976374754,144345.6777807633,50297783033.0,1652436,204826.13834265602,0.9659258262890683,0.25881904510252074,0,0,0,1,0,0,0
6,4,1.287743777654839,63828,488948,2.841468245,118527.5376751284,51297981504.0,1652436,204826.13834265602,1.0,6.123233995736766e-17,0,0,0,1,0,0,0
7,4,1.3825539684959969,71585,511464,3.212747564,145744.4957535539,51233059047.0,1652436,204826.13834265602,0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0
8,4,1.5615984805731598,70954,530861,3.128127865,133008.6865581635,51265101293.0,1652436,204826.13834265602,0.8660254037844387,-0.49999999999999983,0,0,0,1,0,0,0
9,4,1.4392757675766976,71091,544143,3.204936734,121028.68581937907,50511926677.0,1652436,204826.13834265602,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0,0
10,4,1.6812172046132525,72347,543923,3.385919202,132920.63995143623,51001745170.0,1652436,204826.13834265602,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0
11,4,1.535139276034197,70210,538831,3.138485529,124102.53662633151,50741474189.0,1652436,204826.13834265602,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,0
12,4,1.975602090685532,71769,544375,4.155753603,192741.2652550277,51208147906.0,1652436,204826.13834265602,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0
13,4,2.7323574470386593,72844,552279,6.608573155,243132.875927153,50820171169.0,1652436,204826.13834265602,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0,0
14,4,3.8848641808395348,73306,558832,9.447355187,336797.41371590673,50951921669.0,1652436,204826.13834265602,-0.4999999999999998,-0.8660254037844388,0,0,0,1,0,0,0
15,4,4.726536386756429,74691,567377,7.704733753,283292.0843289813,50309638828.0,1652436,204826.13834265602,-0.7071067811865471,-0.7071067811865479,0,0,0,1,0,0,0
16,4,3.9055558874947502,72764,569480,7.708683906,301445.1180262856,50732784786.0,1652436,204826.13834265602,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0
17,4,2.785372999188194,73854,556440,5.667083929,214597.61240003238,50388873972.0,1652436,204826.13834265602,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,0
18,4,2.7486204387204585,73087,551048,5.0,210561.236023189,50756939288.0,1652436,204826.13834265602,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0
19,4,2.0773998165194913,70654,543603,3.952595007,198096.57722458255,51042663179.0,1652436,204826.13834265602,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,0
20,4,2.2505235386169193,68714,532396,5.0,196943.1745361734,50698040651.0,1652436,204826.13834265602,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0
21,4,1.8964676134919904,67416,519375,4.219433032,182842.23581879432,50523579970.0,1652436,204826.13834265602,-0.7071067811865477,0.7071067811865474,0,0,0,1,0,0,0
22,4,1.8176258037973605,66478,502256,3.254979462,147884.03596702655,50985649917.0,1652436,204826.13834265602,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0,0
23,4,1.5510073107172346,60481,483295,2.848214627,127258.11776559443,50853783944.0,1652436,204826.13834265602,-0.25881904510252157,0.9659258262890681,0,0,0,1,0,0,0
0,5,2.941150191434505,64525,484990,3.171828544,161276.97602343073,51152781593.0,1648731,214477.39284506335,0.0,1.0,0,0,0,0,1,0,0
1,5,1.4222787580157317,62614,481817,2.938983493,132744.70308806928,50815705575.0,1648731,214477.39284506335,0.25881904510252074,0.9659258262890683,0,0,0,0,1,0,0
2,5,1.3379434948018716,63287,483202,2.770655318,124866.9210751538,50553730146.0,1648731,214477.39284506335,0.49999999999999994,0.8660254037844387,0,0,0,0,1,0,0
3,5,1.4055561144180775,63395,474211,3.006172715,129894.96436468957,50511325974.0,1648731,214477.39284506335,0.7071067811865475,0.7071067811865476,0,0,0,0,1,0,0
4,5,1.2997569791051615,60564,457672,2.746325303,118115.14950072966,51123444366.0,1648731,214477.39284506335,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0
5,5,1.2815471067800726,63962,461609,2.976374754,144345.6777807633,50297783033.0,1648731,214477.39284506335,0.9659258262890683,0.25881904510252074,0,0,0,0,1,0,0
6,5,1.4762366261532052,67217,488948,2.841468245,118527.5376751284,51297981504.0,1648731,214477.39284506335,1.0,6.123233995736766e-17,0,0,0,0,1,0,0
7,5,1.711070515057923,68144,511464,3.212747564,145744.4957535539,51233059047.0,1648731,214477.39284506335,0.9659258262890683,-0.25881904510252063,0,0,0,0,1,0,0
8,5,1.7644611695385435,70024,530861,3.128127865,133008.6865581635,51265101293.0,1648731,214477.39284506335,0.8660254037844387,-0.49999999999999983,0,0,0,0,1,0,0
9,5,1.66140343240775,73626,544143,3.204936734,121028.68581937907,50511926677.0,1648731,214477.39284506335,0.7071067811865476,-0.7071067811865475,0,0,0,0,1,0,0
10,5,2.4797526232148583,73173,543923,3.385919202,132920.63995143623,51001745170.0,1648731,214477.39284506335,0.49999999999999994,-0.8660254037844387,0,0,0,0,1,0,0
11,5,1.6881432989774912,70417,538831,3.138485529,124102.53662633151,50741474189.0,1648731,214477.39284506335,0.258819045102521,-0.9659258262890682,0,0,0,0,1,0,0
12,5,3.2743687165133593,71149,544375,4.155753603,192741.2652550277,51208147906.0,1648731,214477.39284506335,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0
13,5,4.875462037480269,71843,552279,6.608573155,243132.875927153,50820171169.0,1648731,214477.39284506335,-0.2588190451025208,-0.9659258262890683,0,0,0,0,1,0,0
14,5,3.594865043127253,73531,558832,9.447355187,336797.41371590673,50951921669.0,1648731,214477.39284506335,-0.4999999999999998,-0.8660254037844388,0,0,0,0,1,0,0
15,5,3.103918582999441,75732,567377,7.704733753,283292.0843289813,50309638828.0,1648731,214477.39284506335,-0.7071067811865471,-0.7071067811865479,0,0,0,0,1,0,0
16,5,3.668586254384714,73991,569480,7.708683906,301445.1180262856,50732784786.0,1648731,214477.39284506335,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0
17,5,2.178353826570701,72786,556440,5.667083929,214597.61240003238,50388873972.0,1648731,214477.39284506335,-0.9659258262890683,-0.25881904510252063,0,0,0,0,1,0,0
18,5,1.7638875811791264,72173,551048,5.0,210561.236023189,50756939288.0,1648731,214477.39284506335,-1.0,-1.8369701987210297e-16,0,0,0,0,1,0,0
19,5,1.5711373016910675,71342,543603,3.952595007,198096.57722458255,51042663179.0,1648731,214477.39284506335,-0.9659258262890684,0.2588190451025203,0,0,0,0,1,0,0
20,5,1.6398441668248511,69889,532396,5.0,196943.1745361734,50698040651.0,1648731,214477.39284506335,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0
21,5,1.6606904895523682,68344,519375,4.219433032,182842.23581879432,50523579970.0,1648731,214477.39284506335,-0.7071067811865477,0.7071067811865474,0,0,0,0,1,0,0
22,5,1.4200357154351855,64862,502256,3.254979462,147884.03596702655,50985649917.0,1648731,214477.39284506335,-0.5000000000000004,0.8660254037844384,0,0,0,0,1,0,0
23,5,1.312323043868187,62141,483295,2.848214627,127258.11776559443,50853783944.0,1648731,214477.39284506335,-0.25881904510252157,0.9659258262890681,0,0,0,0,1,0,0
0,6,1.4818038117392736,81833,484990,3.171828544,161276.97602343073,51152781593.0,2069102,222492.0015634782,0.0,1.0,0,0,0,0,0,1,0
